precinct,office,district,candidate,party,votes
01-446 Aurora,U.S. House,1,Registered Voters,,2667
01-446 Aurora,U.S. House,1,Times Counted,,171
01-446 Aurora,U.S. House,1,"Cumings, Christophe",DEM,22
01-446 Aurora,U.S. House,1,"Galvin, Alyse S.",DEM,76
01-446 Aurora,U.S. House,1,"Hafner, Carol",DEM,18
01-446 Aurora,U.S. House,1,"Shein, Dimitri",DEM,37
01-446 Aurora,U.S. House,1,Registered Voters,,2667
01-446 Aurora,U.S. House,1,Times Counted,,199
01-446 Aurora,U.S. House,1,"Nelson, Thomas",REP,39
01-446 Aurora,U.S. House,1,"Whittaker, Jed",REP,31
01-446 Aurora,U.S. House,1,"Young, Don",REP,119
01-446 Aurora,GOVERNOR,,Registered Voters,,2667
01-446 Aurora,GOVERNOR,,Times Counted,,171
01-446 Aurora,GOVERNOR,,"Begich, Mark",DEM,129
01-446 Aurora,GOVERNOR,,"Toien, William S.",LIB,26
01-446 Aurora,GOVERNOR,,Registered Voters,,2667
01-446 Aurora,GOVERNOR,,Times Counted,,199
01-446 Aurora,GOVERNOR,,"Colbry, Darin A.",REP,0
01-446 Aurora,GOVERNOR,,"Dunleavy, Mike J.",REP,99
01-446 Aurora,GOVERNOR,,"Gordon, Thomas A.",REP,5
01-446 Aurora,GOVERNOR,,"Heikes, Gerald L.",REP,0
01-446 Aurora,GOVERNOR,,"Hlatcu, Merica",REP,2
01-446 Aurora,GOVERNOR,,"Sheldon, Michael D.",REP,5
01-446 Aurora,GOVERNOR,,"Treadwell, Mead",REP,85
01-446 Aurora,LIEUTENANT GOVERNOR,,Registered Voters,,2667
01-446 Aurora,LIEUTENANT GOVERNOR,,Times Counted,,171
01-446 Aurora,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,130
01-446 Aurora,LIEUTENANT GOVERNOR,,Registered Voters,,2667
01-446 Aurora,LIEUTENANT GOVERNOR,,Times Counted,,199
01-446 Aurora,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,11
01-446 Aurora,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,57
01-446 Aurora,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,19
01-446 Aurora,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,63
