county,office,district,candidate,party,votes,precinct
,U.S. House,25,Alyse Galvin,DEM,97,25-840
,U.S. House,25,Don Young,REP,127,25-840
,U.S. House,25,Write-ins,,1,25-840
,Governor,25,Mark Begich,DEM,106,25-840
,Governor,25,Mike Dunleavy,REP,118,25-840
,Governor,25,Billy Toien,LIB,2,25-840
,Governor,25,Bill Walker,,2,25-840
,Governor,25,Write-ins,,1,25-840
,State Senate,25,Chris Birch,REP,123,25-840
,State Senate,25,Janice Park,DEM,100,25-840
,State Senate,25,Write-ins,,1,25-840
,State House,25,Pat Higgins,DEM,105,25-840
,State House,25,Josh Revak,REP,119,25-840
,State House,25,Write-ins,,1,25-840
,U.S. House,25,Alyse Galvin,DEM,558,25-845
,U.S. House,25,Don Young,REP,571,25-845
,U.S. House,25,Write-ins,,3,25-845
,Governor,25,Mark Begich,DEM,544,25-845
,Governor,25,Mike Dunleavy,REP,561,25-845
,Governor,25,Billy Toien,LIB,15,25-845
,Governor,25,Bill Walker,,12,25-845
,Governor,25,Write-ins,,2,25-845
,State Senate,25,Chris Birch,REP,629,25-845
,State Senate,25,Janice Park,DEM,482,25-845
,State Senate,25,Write-ins,,1,25-845
,State House,25,Pat Higgins,DEM,526,25-845
,State House,25,Josh Revak,REP,588,25-845
,State House,25,Write-ins,,4,25-845
,U.S. House,25,Alyse Galvin,DEM,477,25-850
,U.S. House,25,Don Young,REP,402,25-850
,U.S. House,25,Write-ins,,2,25-850
,Governor,25,Mark Begich,DEM,465,25-850
,Governor,25,Mike Dunleavy,REP,400,25-850
,Governor,25,Billy Toien,LIB,9,25-850
,Governor,25,Bill Walker,,10,25-850
,Governor,25,Write-ins,,0,25-850
,State Senate,25,Chris Birch,REP,464,25-850
,State Senate,25,Janice Park,DEM,401,25-850
,State Senate,25,Write-ins,,4,25-850
,State House,25,Pat Higgins,DEM,440,25-850
,State House,25,Josh Revak,REP,435,25-850
,State House,25,Write-ins,,0,25-850
,U.S. House,25,Alyse Galvin,DEM,378,25-855
,U.S. House,25,Don Young,REP,440,25-855
,U.S. House,25,Write-ins,,3,25-855
,Governor,25,Mark Begich,DEM,359,25-855
,Governor,25,Mike Dunleavy,REP,437,25-855
,Governor,25,Billy Toien,LIB,15,25-855
,Governor,25,Bill Walker,,8,25-855
,Governor,25,Write-ins,,0,25-855
,State Senate,25,Chris Birch,REP,488,25-855
,State Senate,25,Janice Park,DEM,313,25-855
,State Senate,25,Write-ins,,3,25-855
,State House,25,Pat Higgins,DEM,327,25-855
,State House,25,Josh Revak,REP,480,25-855
,State House,25,Write-ins,,2,25-855
,U.S. House,25,Alyse Galvin,DEM,339,25-860
,U.S. House,25,Don Young,REP,330,25-860
,U.S. House,25,Write-ins,,0,25-860
,Governor,25,Mark Begich,DEM,318,25-860
,Governor,25,Mike Dunleavy,REP,334,25-860
,Governor,25,Billy Toien,LIB,11,25-860
,Governor,25,Bill Walker,,8,25-860
,Governor,25,Write-ins,,2,25-860
,State Senate,25,Chris Birch,REP,363,25-860
,State Senate,25,Janice Park,DEM,289,25-860
,State Senate,25,Write-ins,,4,25-860
,State House,25,Pat Higgins,DEM,305,25-860
,State House,25,Josh Revak,REP,346,25-860
,State House,25,Write-ins,,5,25-860
,U.S. House,25,Alyse Galvin,DEM,264,25-865
,U.S. House,25,Don Young,REP,324,25-865
,U.S. House,25,Write-ins,,2,25-865
,Governor,25,Mark Begich,DEM,248,25-865
,Governor,25,Mike Dunleavy,REP,323,25-865
,Governor,25,Billy Toien,LIB,11,25-865
,Governor,25,Bill Walker,,11,25-865
,Governor,25,Write-ins,,0,25-865
,State Senate,25,Chris Birch,REP,349,25-865
,State Senate,25,Janice Park,DEM,232,25-865
,State Senate,25,Write-ins,,1,25-865
,State House,25,Pat Higgins,DEM,253,25-865
,State House,25,Josh Revak,REP,331,25-865
,State House,25,Write-ins,,0,25-865
,U.S. House,25,Alyse Galvin,DEM,424,25-870
,U.S. House,25,Don Young,REP,405,25-870
,U.S. House,25,Write-ins,,2,25-870
,Governor,25,Mark Begich,DEM,402,25-870
,Governor,25,Mike Dunleavy,REP,404,25-870
,Governor,25,Billy Toien,LIB,10,25-870
,Governor,25,Bill Walker,,17,25-870
,Governor,25,Write-ins,,3,25-870
,State Senate,25,Chris Birch,REP,468,25-870
,State Senate,25,Janice Park,DEM,348,25-870
,State Senate,25,Write-ins,,2,25-870
,State House,25,Pat Higgins,DEM,375,25-870
,State House,25,Josh Revak,REP,445,25-870
,State House,25,Write-ins,,1,25-870
,U.S. House,25,Alyse Galvin,DEM,350,Absentee
,U.S. House,25,Don Young,REP,370,Absentee
,U.S. House,25,Write-ins,,1,Absentee
,Governor,25,Mark Begich,DEM,298,Absentee
,Governor,25,Mike Dunleavy,REP,376,Absentee
,Governor,25,Billy Toien,LIB,7,Absentee
,Governor,25,Bill Walker,,39,Absentee
,Governor,25,Write-ins,,1,Absentee
,State Senate,25,Chris Birch,REP,399,Absentee
,State Senate,25,Janice Park,DEM,269,Absentee
,State Senate,25,Write-ins,,1,Absentee
,State House,25,Pat Higgins,DEM,290,Absentee
,State House,25,Josh Revak,REP,375,Absentee
,State House,25,Write-ins,,1,Absentee
,U.S. House,25,Alyse Galvin,DEM,177,Question
,U.S. House,25,Don Young,REP,166,Question
,U.S. House,25,Write-ins,,2,Question
,Governor,25,Mark Begich,DEM,163,Question
,Governor,25,Mike Dunleavy,REP,171,Question
,Governor,25,Billy Toien,LIB,9,Question
,Governor,25,Bill Walker,,4,Question
,Governor,25,Write-ins,,0,Question
,State Senate,25,Chris Birch,REP,84,Question
,State Senate,25,Janice Park,DEM,63,Question
,State Senate,25,Write-ins,,0,Question
,State House,25,Pat Higgins,DEM,49,Question
,State House,25,Josh Revak,REP,63,Question
,State House,25,Write-ins,,0,Question
,U.S. House,25,Alyse Galvin,DEM,732,Early Voting
,U.S. House,25,Don Young,REP,421,Early Voting
,U.S. House,25,Write-ins,,1,Early Voting
,Governor,25,Mark Begich,DEM,735,Early Voting
,Governor,25,Mike Dunleavy,REP,398,Early Voting
,Governor,25,Billy Toien,LIB,10,Early Voting
,Governor,25,Bill Walker,,10,Early Voting
,Governor,25,Write-ins,,2,Early Voting
,State Senate,25,Chris Birch,REP,475,Early Voting
,State Senate,25,Janice Park,DEM,657,Early Voting
,State Senate,25,Write-ins,,1,Early Voting
,State House,25,Pat Higgins,DEM,686,Early Voting
,State House,25,Josh Revak,REP,455,Early Voting
,State House,25,Write-ins,,1,Early Voting
