county,office,district,candidate,party,votes,precinct
,U.S. House,15,Alyse Galvin,DEM,102,15-300
,U.S. House,15,Don Young,REP,111,15-300
,U.S. House,15,Write-ins,,2,15-300
,Governor,15,Mark Begich,DEM,69,15-300
,Governor,15,Mike Dunleavy,REP,136,15-300
,Governor,15,Billy Toien,LIB,5,15-300
,Governor,15,Bill Walker,,6,15-300
,Governor,15,Write-ins,,1,15-300
,State House,15,Gabrielle LeDoux,REP,108,15-300
,State House,15,Lyn Franks,DEM,69,15-300
,State House,15,Write-ins,,37,15-300
,U.S. House,15,Alyse Galvin,DEM,335,15-305
,U.S. House,15,Don Young,REP,382,15-305
,U.S. House,15,Write-ins,,8,15-305
,Governor,15,Mark Begich,DEM,292,15-305
,Governor,15,Mike Dunleavy,REP,400,15-305
,Governor,15,Billy Toien,LIB,18,15-305
,Governor,15,Bill Walker,,9,15-305
,Governor,15,Write-ins,,3,15-305
,State House,15,Gabrielle LeDoux,REP,252,15-305
,State House,15,Lyn Franks,DEM,219,15-305
,State House,15,Write-ins,,246,15-305
,U.S. House,15,Alyse Galvin,DEM,254,15-310
,U.S. House,15,Don Young,REP,213,15-310
,U.S. House,15,Write-ins,,6,15-310
,Governor,15,Mark Begich,DEM,241,15-310
,Governor,15,Mike Dunleavy,REP,217,15-310
,Governor,15,Billy Toien,LIB,13,15-310
,Governor,15,Bill Walker,,4,15-310
,Governor,15,Write-ins,,3,15-310
,State House,15,Gabrielle LeDoux,REP,211,15-310
,State House,15,Lyn Franks,DEM,157,15-310
,State House,15,Write-ins,,95,15-310
,U.S. House,15,Alyse Galvin,DEM,209,15-315
,U.S. House,15,Don Young,REP,206,15-315
,U.S. House,15,Write-ins,,1,15-315
,Governor,15,Mark Begich,DEM,202,15-315
,Governor,15,Mike Dunleavy,REP,199,15-315
,Governor,15,Billy Toien,LIB,9,15-315
,Governor,15,Bill Walker,,6,15-315
,Governor,15,Write-ins,,3,15-315
,State House,15,Gabrielle LeDoux,REP,165,15-315
,State House,15,Lyn Franks,DEM,139,15-315
,State House,15,Write-ins,,110,15-315
,U.S. House,15,Alyse Galvin,DEM,273,15-320
,U.S. House,15,Don Young,REP,211,15-320
,U.S. House,15,Write-ins,,4,15-320
,Governor,15,Mark Begich,DEM,260,15-320
,Governor,15,Mike Dunleavy,REP,206,15-320
,Governor,15,Billy Toien,LIB,11,15-320
,Governor,15,Bill Walker,,7,15-320
,Governor,15,Write-ins,,6,15-320
,State House,15,Gabrielle LeDoux,REP,179,15-320
,State House,15,Lyn Franks,DEM,184,15-320
,State House,15,Write-ins,,117,15-320
,U.S. House,15,Alyse Galvin,DEM,244,Absentee
,U.S. House,15,Don Young,REP,297,Absentee
,U.S. House,15,Write-ins,,2,Absentee
,Governor,15,Mark Begich,DEM,240,Absentee
,Governor,15,Mike Dunleavy,REP,273,Absentee
,Governor,15,Billy Toien,LIB,14,Absentee
,Governor,15,Bill Walker,,22,Absentee
,Governor,15,Write-ins,,4,Absentee
,State House,15,Gabrielle LeDoux,REP,256,Absentee
,State House,15,Lyn Franks,DEM,145,Absentee
,State House,15,Write-ins,,94,Absentee
,U.S. House,15,Alyse Galvin,DEM,146,Question
,U.S. House,15,Don Young,REP,116,Question
,U.S. House,15,Write-ins,,3,Question
,Governor,15,Mark Begich,DEM,131,Question
,Governor,15,Mike Dunleavy,REP,119,Question
,Governor,15,Billy Toien,LIB,10,Question
,Governor,15,Bill Walker,,7,Question
,Governor,15,Write-ins,,0,Question
,State House,15,Gabrielle LeDoux,REP,30,Question
,State House,15,Lyn Franks,DEM,25,Question
,State House,15,Write-ins,,10,Question
,U.S. House,15,Alyse Galvin,DEM,292,Early Voting
,U.S. House,15,Don Young,REP,180,Early Voting
,U.S. House,15,Write-ins,,1,Early Voting
,Governor,15,Mark Begich,DEM,294,Early Voting
,Governor,15,Mike Dunleavy,REP,166,Early Voting
,Governor,15,Billy Toien,LIB,9,Early Voting
,Governor,15,Bill Walker,,6,Early Voting
,Governor,15,Write-ins,,0,Early Voting
,State House,15,Gabrielle LeDoux,REP,179,Early Voting
,State House,15,Lyn Franks,DEM,201,Early Voting
,State House,15,Write-ins,,86,Early Voting
