county,office,district,candidate,party,votes,precinct
,U.S. House,4,Alyse Galvin,DEM,309,04-230
,U.S. House,4,Don Young,REP,141,04-230
,U.S. House,4,Write-ins,,3,04-230
,Governor,4,Mark Begich,DEM,295,04-230
,Governor,4,Mike Dunleavy,REP,139,04-230
,Governor,4,Billy Toien,LIB,13,04-230
,Governor,4,Bill Walker,,5,04-230
,Governor,4,Write-ins,,0,04-230
,State House,4,Jim Sackett,REP,137,04-230
,State House,4,Tim Lamkin,,25,04-230
,State House,4,Grier Hopkins,DEM,289,04-230
,State House,4,Write-ins,,0,04-230
,U.S. House,4,Alyse Galvin,DEM,630,04-240
,U.S. House,4,Don Young,REP,428,04-240
,U.S. House,4,Write-ins,,1,04-240
,Governor,4,Mark Begich,DEM,626,04-240
,Governor,4,Mike Dunleavy,REP,399,04-240
,Governor,4,Billy Toien,LIB,14,04-240
,Governor,4,Bill Walker,,21,04-240
,Governor,4,Write-ins,,2,04-240
,State House,4,Jim Sackett,REP,412,04-240
,State House,4,Tim Lamkin,,45,04-240
,State House,4,Grier Hopkins,DEM,599,04-240
,State House,4,Write-ins,,2,04-240
,U.S. House,4,Alyse Galvin,DEM,328,04-250
,U.S. House,4,Don Young,REP,179,04-250
,U.S. House,4,Write-ins,,1,04-250
,Governor,4,Mark Begich,DEM,307,04-250
,Governor,4,Mike Dunleavy,REP,185,04-250
,Governor,4,Billy Toien,LIB,11,04-250
,Governor,4,Bill Walker,,6,04-250
,Governor,4,Write-ins,,0,04-250
,State House,4,Jim Sackett,REP,186,04-250
,State House,4,Tim Lamkin,,23,04-250
,State House,4,Grier Hopkins,DEM,296,04-250
,State House,4,Write-ins,,1,04-250
,U.S. House,4,Alyse Galvin,DEM,520,04-260
,U.S. House,4,Don Young,REP,192,04-260
,U.S. House,4,Write-ins,,0,04-260
,Governor,4,Mark Begich,DEM,506,04-260
,Governor,4,Mike Dunleavy,REP,191,04-260
,Governor,4,Billy Toien,LIB,12,04-260
,Governor,4,Bill Walker,,6,04-260
,Governor,4,Write-ins,,0,04-260
,State House,4,Jim Sackett,REP,189,04-260
,State House,4,Tim Lamkin,,45,04-260
,State House,4,Grier Hopkins,DEM,478,04-260
,State House,4,Write-ins,,1,04-260
,U.S. House,4,Alyse Galvin,DEM,472,04-265
,U.S. House,4,Don Young,REP,865,04-265
,U.S. House,4,Write-ins,,11,04-265
,Governor,4,Mark Begich,DEM,467,04-265
,Governor,4,Mike Dunleavy,REP,830,04-265
,Governor,4,Billy Toien,LIB,35,04-265
,Governor,4,Bill Walker,,15,04-265
,Governor,4,Write-ins,,4,04-265
,State House,4,Jim Sackett,REP,834,04-265
,State House,4,Tim Lamkin,,81,04-265
,State House,4,Grier Hopkins,DEM,426,04-265
,State House,4,Write-ins,,4,04-265
,U.S. House,4,Alyse Galvin,DEM,650,04-270
,U.S. House,4,Don Young,REP,844,04-270
,U.S. House,4,Write-ins,,4,04-270
,Governor,4,Mark Begich,DEM,592,04-270
,Governor,4,Mike Dunleavy,REP,847,04-270
,Governor,4,Billy Toien,LIB,43,04-270
,Governor,4,Bill Walker,,17,04-270
,Governor,4,Write-ins,,2,04-270
,State House,4,Jim Sackett,REP,862,04-270
,State House,4,Tim Lamkin,,78,04-270
