county,office,district,candidate,party,votes,precinct
,U.S. House,19,Alyse Galvin,DEM,230,19-500
,U.S. House,19,Don Young,REP,140,19-500
,U.S. House,19,Write-ins,,3,19-500
,Governor,19,Mark Begich,DEM,216,19-500
,Governor,19,Mike Dunleavy,REP,141,19-500
,Governor,19,Billy Toien,LIB,9,19-500
,Governor,19,Bill Walker,,7,19-500
,Governor,19,Write-ins,,4,19-500
,State House,19,Geran Tarr,DEM,240,19-500
,State House,19,Cean Stevens,LIB,120,19-500
,State House,19,Write-ins,,5,19-500
,U.S. House,19,Alyse Galvin,DEM,244,19-505
,U.S. House,19,Don Young,REP,179,19-505
,U.S. House,19,Write-ins,,3,19-505
,Governor,19,Mark Begich,DEM,243,19-505
,Governor,19,Mike Dunleavy,REP,164,19-505
,Governor,19,Billy Toien,LIB,15,19-505
,Governor,19,Bill Walker,,6,19-505
,Governor,19,Write-ins,,1,19-505
,State House,19,Geran Tarr,DEM,252,19-505
,State House,19,Cean Stevens,LIB,153,19-505
,State House,19,Write-ins,,8,19-505
,U.S. House,19,Alyse Galvin,DEM,292,19-510
,U.S. House,19,Don Young,REP,250,19-510
,U.S. House,19,Write-ins,,0,19-510
,Governor,19,Mark Begich,DEM,285,19-510
,Governor,19,Mike Dunleavy,REP,246,19-510
,Governor,19,Billy Toien,LIB,8,19-510
,Governor,19,Bill Walker,,5,19-510
,Governor,19,Write-ins,,0,19-510
,State House,19,Geran Tarr,DEM,307,19-510
,State House,19,Cean Stevens,LIB,198,19-510
,State House,19,Write-ins,,11,19-510
,U.S. House,19,Alyse Galvin,DEM,125,19-515
,U.S. House,19,Don Young,REP,132,19-515
,U.S. House,19,Write-ins,,0,19-515
,Governor,19,Mark Begich,DEM,110,19-515
,Governor,19,Mike Dunleavy,REP,135,19-515
,Governor,19,Billy Toien,LIB,9,19-515
,Governor,19,Bill Walker,,6,19-515
,Governor,19,Write-ins,,0,19-515
,State House,19,Geran Tarr,DEM,124,19-515
,State House,19,Cean Stevens,LIB,119,19-515
,State House,19,Write-ins,,4,19-515
,U.S. House,19,Alyse Galvin,DEM,323,19-520
,U.S. House,19,Don Young,REP,204,19-520
,U.S. House,19,Write-ins,,1,19-520
,Governor,19,Mark Begich,DEM,308,19-520
,Governor,19,Mike Dunleavy,REP,198,19-520
,Governor,19,Billy Toien,LIB,10,19-520
,Governor,19,Bill Walker,,8,19-520
,Governor,19,Write-ins,,3,19-520
,State House,19,Geran Tarr,DEM,321,19-520
,State House,19,Cean Stevens,LIB,189,19-520
,State House,19,Write-ins,,4,19-520
,U.S. House,19,Alyse Galvin,DEM,559,19-525
,U.S. House,19,Don Young,REP,240,19-525
,U.S. House,19,Write-ins,,4,19-525
,Governor,19,Mark Begich,DEM,579,19-525
,Governor,19,Mike Dunleavy,REP,217,19-525
,Governor,19,Billy Toien,LIB,9,19-525
,Governor,19,Bill Walker,,5,19-525
,Governor,19,Write-ins,,4,19-525
,State House,19,Geran Tarr,DEM,603,19-525
,State House,19,Cean Stevens,LIB,189,19-525
,State House,19,Write-ins,,4,19-525
,U.S. House,19,Alyse Galvin,DEM,201,Absentee
,U.S. House,19,Don Young,REP,148,Absentee
,U.S. House,19,Write-ins,,5,Absentee
,Governor,19,Mark Begich,DEM,201,Absentee
,Governor,19,Mike Dunleavy,REP,134,Absentee
,Governor,19,Billy Toien,LIB,9,Absentee
,Governor,19,Bill Walker,,8,Absentee
,Governor,19,Write-ins,,3,Absentee
,State House,19,Geran Tarr,DEM,173,Absentee
,State House,19,Cean Stevens,LIB,120,Absentee
,State House,19,Write-ins,,2,Absentee
,U.S. House,19,Alyse Galvin,DEM,153,Question
,U.S. House,19,Don Young,REP,106,Question
,U.S. House,19,Write-ins,,0,Question
,Governor,19,Mark Begich,DEM,151,Question
,Governor,19,Mike Dunleavy,REP,92,Question
,Governor,19,Billy Toien,LIB,8,Question
,Governor,19,Bill Walker,,14,Question
,Governor,19,Write-ins,,0,Question
,State House,19,Geran Tarr,DEM,49,Question
,State House,19,Cean Stevens,LIB,21,Question
,State House,19,Write-ins,,0,Question
,U.S. House,19,Alyse Galvin,DEM,473,Early Voting
,U.S. House,19,Don Young,REP,112,Early Voting
,U.S. House,19,Write-ins,,2,Early Voting
,Governor,19,Mark Begich,DEM,463,Early Voting
,Governor,19,Mike Dunleavy,REP,108,Early Voting
,Governor,19,Billy Toien,LIB,8,Early Voting
,Governor,19,Bill Walker,,7,Early Voting
,Governor,19,Write-ins,,1,Early Voting
,State House,19,Geran Tarr,DEM,462,Early Voting
,State House,19,Cean Stevens,LIB,102,Early Voting
,State House,19,Write-ins,,8,Early Voting
