county,office,district,candidate,party,votes,precinct
,U.S. House,33,Alyse Galvin,DEM,519,33-500
,U.S. House,33,Don Young,REP,174,33-500
,U.S. House,33,Write-ins,,1,33-500
,Governor,33,Mark Begich,DEM,503,33-500
,Governor,33,Mike Dunleavy,REP,164,33-500
,Governor,33,Billy Toien,LIB,20,33-500
,Governor,33,Bill Walker,,10,33-500
,Governor,33,Write-ins,,0,33-500
,State Senate,33,Jesse Kiehl,DEM,485,33-500
,State Senate,33,Don Etheridge,,201,33-500
,State Senate,33,Write-ins,,0,33-500
,State House,33,Sara Hannan,DEM,339,33-500
,State House,33,Chris Dimond,,337,33-500
,State House,33,Write-ins,,3,33-500
,U.S. House,33,Alyse Galvin,DEM,138,33-505
,U.S. House,33,Don Young,REP,75,33-505
,U.S. House,33,Write-ins,,0,33-505
,Governor,33,Mark Begich,DEM,129,33-505
,Governor,33,Mike Dunleavy,REP,71,33-505
,Governor,33,Billy Toien,LIB,8,33-505
,Governor,33,Bill Walker,,5,33-505
,Governor,33,Write-ins,,0,33-505
,State Senate,33,Jesse Kiehl,DEM,138,33-505
,State Senate,33,Don Etheridge,,60,33-505
,State Senate,33,Write-ins,,0,33-505
,State House,33,Sara Hannan,DEM,123,33-505
,State House,33,Chris Dimond,,74,33-505
,State House,33,Write-ins,,0,33-505
,U.S. House,33,Alyse Galvin,DEM,426,33-510
,U.S. House,33,Don Young,REP,158,33-510
,U.S. House,33,Write-ins,,2,33-510
,Governor,33,Mark Begich,DEM,391,33-510
,Governor,33,Mike Dunleavy,REP,168,33-510
,Governor,33,Billy Toien,LIB,15,33-510
,Governor,33,Bill Walker,,11,33-510
,Governor,33,Write-ins,,0,33-510
,State Senate,33,Jesse Kiehl,DEM,396,33-510
,State Senate,33,Don Etheridge,,182,33-510
,State Senate,33,Write-ins,,1,33-510
,State House,33,Sara Hannan,DEM,292,33-510
,State House,33,Chris Dimond,,275,33-510
,State House,33,Write-ins,,8,33-510
,U.S. House,33,Alyse Galvin,DEM,615,33-515
,U.S. House,33,Don Young,REP,105,33-515
,U.S. House,33,Write-ins,,1,33-515
,Governor,33,Mark Begich,DEM,597,33-515
,Governor,33,Mike Dunleavy,REP,111,33-515
