county,office,district,candidate,party,votes,precinct
,U.S. House,40,Alyse Galvin,DEM,22,40-002
,U.S. House,40,Don Young,REP,48,40-002
,U.S. House,40,Write-ins,,0,40-002
,Governor,40,Mark Begich,DEM,48,40-002
,Governor,40,Mike Dunleavy,REP,19,40-002
,Governor,40,Billy Toien,LIB,0,40-002
,Governor,40,Bill Walker,,4,40-002
,Governor,40,Write-ins,,0,40-002
,State House,40,Leanna Mack,,4,40-002
,State House,40,Patrick Savok,,38,40-002
,State House,40,John Lincoln,DEM,30,40-002
,State House,40,Write-ins,,0,40-002
,U.S. House,40,Alyse Galvin,DEM,37,40-004
,U.S. House,40,Don Young,REP,40,40-004
,U.S. House,40,Write-ins,,1,40-004
,Governor,40,Mark Begich,DEM,51,40-004
,Governor,40,Mike Dunleavy,REP,22,40-004
,Governor,40,Billy Toien,LIB,1,40-004
,Governor,40,Bill Walker,,4,40-004
,Governor,40,Write-ins,,0,40-004
,State House,40,Leanna Mack,,14,40-004
,State House,40,Patrick Savok,,13,40-004
,State House,40,John Lincoln,DEM,47,40-004
,State House,40,Write-ins,,3,40-004
,U.S. House,40,Alyse Galvin,DEM,16,40-006
,U.S. House,40,Don Young,REP,33,40-006
,U.S. House,40,Write-ins,,0,40-006
,Governor,40,Mark Begich,DEM,30,40-006
,Governor,40,Mike Dunleavy,REP,11,40-006
,Governor,40,Billy Toien,LIB,3,40-006
,Governor,40,Bill Walker,,5,40-006
,Governor,40,Write-ins,,0,40-006
,State House,40,Leanna Mack,,16,40-006
,State House,40,Patrick Savok,,6,40-006
,State House,40,John Lincoln,DEM,26,40-006
,State House,40,Write-ins,,0,40-006
,U.S. House,40,Alyse Galvin,DEM,169,40-008
,U.S. House,40,Don Young,REP,164,40-008
,U.S. House,40,Write-ins,,1,40-008
,Governor,40,Mark Begich,DEM,198,40-008
,Governor,40,Mike Dunleavy,REP,113,40-008
,Governor,40,Billy Toien,LIB,8,40-008
,Governor,40,Bill Walker,,16,40-008
,Governor,40,Write-ins,,1,40-008
,State House,40,Leanna Mack,,136,40-008
,State House,40,Patrick Savok,,33,40-008
,State House,40,John Lincoln,DEM,161,40-008
,State House,40,Write-ins,,5,40-008
,U.S. House,40,Alyse Galvin,DEM,357,40-010
,U.S. House,40,Don Young,REP,388,40-010
,U.S. House,40,Write-ins,,4,40-010
,Governor,40,Mark Begich,DEM,428,40-010
,Governor,40,Mike Dunleavy,REP,257,40-010
,Governor,40,Billy Toien,LIB,16,40-010
,Governor,40,Bill Walker,,41,40-010
,Governor,40,Write-ins,,6,40-010
,State House,40,Leanna Mack,,257,40-010
,State House,40,Patrick Savok,,101,40-010
,State House,40,John Lincoln,DEM,372,40-010
,State House,40,Write-ins,,9,40-010
,U.S. House,40,Alyse Galvin,DEM,56,40-012
,U.S. House,40,Don Young,REP,64,40-012
,U.S. House,40,Write-ins,,1,40-012
,Governor,40,Mark Begich,DEM,53,40-012
,Governor,40,Mike Dunleavy,REP,49,40-012
,Governor,40,Billy Toien,LIB,4,40-012
,Governor,40,Bill Walker,,15,40-012
,Governor,40,Write-ins,,0,40-012
